Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,36.990002,37.869999,36.660000,37.299999,26.607138,68151800
2013-01-08,37.189999,37.279999,36.520000,36.990002,26.386002,67138000
2013-01-15,36.990002,37.709999,36.799999,37.700001,26.892462,48067500
2013-01-22,37.740002,37.740002,36.860001,37.009998,26.400272,75505700
2013-01-29,36.880001,37.709999,36.860001,37.349998,26.642805,65283200
2013-02-05,37.560001,39.060001,37.560001,38.610001,27.541595,77994200
2013-02-12,38.110001,38.160000,36.540001,37.419998,26.692730,98597200
2013-02-19,37.509998,38.720001,37.410000,37.720001,26.906742,77912400
2013-02-26,37.950001,38.970001,37.779999,38.820000,27.691389,72705400
2013-03-05,38.980000,39.419998,38.560001,39.310001,28.040926,60373500
2013-03-12,39.279999,39.310001,38.549999,38.759998,27.648590,72568500
2013-03-19,38.919998,40.430000,38.820000,40.119999,28.825893,89374400
2013-03-26,40.130001,40.700001,40.020000,40.450001,29.062994,50654100
2013-04-02,40.430000,40.900002,39.770000,40.860001,29.357576,71921700
2013-04-09,40.810001,41.410000,40.049999,40.090000,28.804329,68167600
2013-04-16,41.400002,42.849998,41.250000,42.720001,30.693966,96797800
2013-04-23,42.779999,42.959999,41.919998,42.240002,30.349094,59252400
2013-04-30,42.150002,42.560001,41.490002,42.080002,30.234142,61966300
2013-05-07,42.209999,42.709999,41.849998,42.189999,30.313164,55753300
2013-05-14,42.180000,43.430000,42.009998,42.380001,30.449686,60237300
2013-05-21,42.480000,42.860001,41.500000,42.240002,30.349094,45240700
2013-05-28,42.599998,43.049999,39.630001,40.810001,29.321644,95034800
2013-06-04,41.590000,41.730000,40.310001,41.180000,29.587486,72548900
2013-06-11,40.880001,40.980000,39.680000,40.680000,29.228243,72008200
2013-06-18,40.700001,41.439999,38.970001,39.529999,28.598295,90100900
2013-06-25,39.820000,40.919998,39.439999,40.459999,29.271101,65327100
2013-07-02,40.470001,40.799999,40.029999,40.540001,29.328972,37851600
2013-07-09,40.860001,41.250000,40.529999,41.009998,29.669003,53894200
2013-07-16,39.779999,41.139999,39.500000,40.840000,29.546022,82623700
2013-07-23,40.950001,41.130001,40.009998,40.279999,29.140890,51470800
2013-07-30,40.419998,40.750000,39.910000,40.290001,29.148123,71777400
2013-08-06,40.230000,40.430000,39.709999,39.830002,28.815329,50420100
2013-08-13,39.930000,40.049999,38.689999,38.779999,28.055698,74041800
2013-08-20,38.849998,39.139999,38.099998,38.119999,27.578220,60388500
2013-08-27,37.980000,38.529999,37.799999,38.180000,27.621616,64500000
2013-09-03,38.270000,38.730000,37.799999,38.520000,27.867596,77080000
2013-09-10,38.770000,39.200001,38.279999,38.860001,28.113583,60843000
2013-09-17,38.810001,39.669998,38.439999,38.630001,28.150427,94855400
2013-09-24,38.720001,38.869999,37.750000,37.880001,27.603893,68181600
2013-10-01,38.000000,38.090000,36.830002,37.049999,26.999056,87224200
2013-10-08,37.099998,37.950001,36.900002,37.910000,27.625753,85114400
2013-10-15,38.180000,38.950001,37.599998,38.820000,28.288891,87446000
2013-10-22,38.860001,39.740002,38.630001,39.610001,28.864588,77781300
2013-10-29,39.570000,39.959999,39.299999,39.509998,28.791710,64095600
2013-11-05,39.360001,40.250000,39.220001,39.869999,29.054056,65477600
2013-11-12,39.910000,40.439999,39.619999,40.169998,29.272657,54742300
2013-11-19,40.139999,40.880001,39.919998,40.369999,29.418400,92257200
2013-11-26,40.490002,40.599998,39.689999,40.080002,29.207079,49529400
2013-12-03,40.049999,40.500000,39.799999,40.400002,29.646500,72753800
2013-12-10,40.259998,40.340000,39.180000,39.270000,28.817286,79348500
2013-12-17,39.119999,40.240002,38.869999,40.160000,29.470390,89512400
2013-12-24,40.169998,41.139999,40.099998,41.090000,30.152832,31061800
2013-12-31,41.130001,41.389999,40.160000,40.270000,29.551115,45867500
2014-01-07,40.480000,40.720001,39.500000,39.529999,29.008078,68664000
2014-01-14,39.639999,39.939999,39.279999,39.279999,28.824617,50701800
2014-01-21,39.639999,40.090000,38.709999,38.730000,28.421017,73358200
2014-01-28,38.770000,39.080002,37.099998,37.200001,27.298265,85703500
2014-02-04,37.439999,38.939999,37.209999,38.570000,28.303604,95352600
2014-02-11,38.669998,39.020000,38.130001,38.930000,28.567776,52460400
2014-02-18,37.980000,38.110001,36.889999,37.500000,27.518412,139026800
2014-02-25,37.630001,38.389999,37.500000,38.119999,27.973387,93910600
2014-03-04,38.340000,38.650002,38.230000,38.650002,28.362299,81081000
2014-03-11,38.840000,38.840000,37.880001,38.270000,28.083452,81678800
2014-03-18,38.270000,38.830002,37.950001,38.400002,28.402124,85872700
2014-03-25,38.490002,39.029999,38.459999,38.660000,28.594427,81757800
2014-04-01,38.529999,38.889999,38.040001,38.619999,28.564835,87088100
2014-04-08,38.669998,39.400002,38.400002,38.730000,28.646206,85301000
2014-04-15,39.830002,40.759998,39.500000,40.750000,30.140266,100627100
2014-04-22,40.580002,41.279999,40.419998,41.029999,30.347361,78418100
2014-04-29,40.970001,41.029999,40.259998,40.759998,30.147663,71036700
2014-05-06,40.520000,40.970001,40.450001,40.820000,30.192059,46436600
2014-05-13,40.830002,41.220001,40.419998,40.709999,30.110683,55378300
2014-05-20,40.799999,40.930000,40.500000,40.580002,30.014538,32932400
2014-05-27,40.560001,40.919998,40.480000,40.860001,30.221622,46604900
2014-06-03,40.720001,41.090000,40.630001,40.910000,30.258596,44566500
2014-06-10,40.840000,41.150002,40.150002,40.660000,30.073700,52473600
2014-06-17,41.180000,41.880001,40.610001,41.730000,31.097242,95221900
2014-06-24,41.520000,42.490002,41.459999,42.360001,31.566711,82221000
2014-07-01,42.389999,42.450001,41.930000,42.139999,31.402771,34734300
2014-07-08,41.970001,42.389999,41.549999,42.380001,31.581629,54177300
2014-07-15,42.410000,42.570000,41.830002,42.400002,31.596527,67736400
2014-07-22,41.099998,41.330002,40.610001,40.680000,30.314779,79612700
2014-07-29,40.750000,40.779999,39.060001,39.400002,29.360920,71224100
2014-08-05,39.340000,40.009998,39.099998,39.570000,29.487604,71343700
2014-08-12,39.560001,41.419998,39.540001,41.349998,30.814068,67951500
2014-08-19,41.349998,41.689999,41.049999,41.410000,30.858776,50467800
2014-08-26,41.410000,41.750000,41.410000,41.720001,31.089781,33522700
2014-09-02,41.520000,42.169998,41.310001,41.779999,31.134502,57084600
2014-09-09,41.770000,42.189999,41.330002,41.500000,30.925846,74290900
2014-09-16,41.290001,42.349998,41.180000,42.220001,31.691603,103590800
2014-09-23,42.000000,42.340000,41.709999,42.250000,31.714121,57249200
2014-09-30,42.099998,43.680000,42.080002,43.599998,32.727474,104041000
2014-10-07,43.480000,44.869999,43.480000,44.070000,33.080261,122177500
2014-10-14,44.040001,44.119999,42.310001,43.290001,32.494781,107419000
2014-10-21,40.799999,41.380001,40.099998,40.759998,30.595686,137647000
2014-10-28,40.759998,42.279999,40.509998,41.810001,31.383852,94424400
2014-11-04,41.770000,42.619999,41.660000,42.389999,31.819197,63203600
2014-11-11,42.380001,43.080002,42.310001,42.919998,32.217041,54943700
2014-11-18,42.950001,44.779999,42.750000,44.270000,33.230400,92284200
2014-11-25,44.270000,45.000000,43.970001,44.549999,33.440567,40508600
2014-12-02,44.369999,44.669998,43.090000,43.139999,32.606010,64243500
2014-12-09,42.150002,42.529999,40.560001,40.570000,30.663555,102051100
2014-12-16,40.200001,42.790001,39.799999,42.349998,32.008919,96930400
2014-12-23,42.540001,43.299999,42.470001,42.860001,32.394379,34978600
2014-12-30,42.740002,42.990002,41.799999,42.139999,31.850197,54805200
2015-01-06,42.410000,43.570000,42.240002,42.639999,32.228100,76202700
2015-01-13,42.830002,43.240002,42.070000,42.529999,32.144955,52285100
2015-01-20,42.700001,43.830002,42.610001,43.000000,32.500191,65986600
2015-01-27,42.540001,42.799999,40.900002,41.590000,31.434492,77601600
2015-02-03,41.750000,42.090000,41.040001,41.230000,31.162403,66409100
2015-02-10,42.910000,43.029999,41.700001,41.990002,31.736820,77290800
2015-02-17,41.810001,42.240002,41.470001,41.849998,31.631008,66985000
2015-02-24,41.849998,43.660000,41.740002,43.200001,32.651363,79279900
2015-03-03,43.110001,43.160000,41.320000,41.389999,31.283333,63826100
2015-03-10,41.099998,41.150002,39.610001,40.290001,30.451927,83554700
2015-03-17,40.669998,40.939999,39.799999,40.619999,30.956099,112635900
2015-03-24,40.910000,40.990002,39.939999,40.509998,30.872272,80602400
2015-03-31,40.509998,41.610001,40.230000,41.169998,31.375254,65092000
2015-04-07,41.049999,41.369999,40.630001,40.700001,31.017080,49775300
2015-04-14,40.590000,40.900002,40.099998,40.660000,30.986580,63873800
2015-04-21,40.669998,41.570000,40.540001,40.830002,31.116140,85637000
2015-04-28,40.950001,41.099998,40.279999,40.959999,31.215214,57300100
2015-05-05,41.139999,41.389999,40.389999,40.939999,31.199970,58720800
2015-05-12,40.770000,41.689999,40.520000,41.320000,31.489559,55519900
2015-05-19,41.230000,41.590000,41.040001,41.209999,31.405733,41217600
2015-05-26,41.119999,41.410000,40.740002,40.939999,31.199970,66765300
2015-06-02,40.840000,41.209999,40.020000,40.160000,30.605543,60493100
2015-06-09,40.169998,40.540001,39.570000,39.590000,30.171150,61630900
2015-06-16,39.630001,40.810001,39.599998,40.480000,31.103930,75056900
2015-06-23,40.430000,40.520000,39.400002,39.400002,30.274067,63804000
2015-06-30,39.610001,39.810001,39.119999,39.419998,30.289434,45027200
2015-07-07,39.490002,40.770000,39.400002,40.660000,31.242214,68325300
2015-07-14,40.900002,41.599998,40.840000,41.380001,31.795456,60899300
2015-07-21,41.380001,41.590000,40.160000,40.540001,31.150019,64562800
2015-07-28,40.650002,41.549999,40.389999,41.540001,31.918394,58579300
2015-08-04,41.509998,42.250000,41.340000,41.680000,32.025978,64656600
2015-08-11,41.400002,41.570000,40.849998,41.349998,31.772404,49305600
2015-08-18,41.279999,41.529999,36.560001,38.380001,29.490326,113315400
2015-08-25,39.130001,39.470001,37.889999,39.320000,30.212601,100935800
2015-09-01,38.669998,39.340000,38.380001,38.520000,29.597900,66520100
2015-09-08,38.869999,39.209999,37.840000,38.099998,29.275175,64743300
2015-09-15,38.070000,39.610001,37.919998,39.189999,30.373596,96948800
2015-09-22,38.680000,40.080002,38.509998,39.529999,30.637110,85152200
2015-09-29,39.520000,41.049999,39.330002,41.009998,31.784161,84727400
2015-10-06,41.040001,42.290001,40.930000,42.000000,32.551434,67099600
2015-10-13,41.799999,42.209999,41.540001,41.990002,32.543686,74823200
2015-10-20,42.000000,43.849998,41.709999,42.590000,33.008717,104959100
2015-10-27,42.500000,42.900002,41.900002,42.240002,32.737442,84869700
2015-11-03,42.180000,42.389999,41.340000,41.540001,32.194927,52576100
2015-11-10,41.439999,42.200001,41.360001,41.959999,32.520447,50973700
2015-11-17,41.849998,43.580002,41.509998,42.959999,33.295467,82915300
2015-11-24,42.700001,43.599998,42.610001,42.619999,33.031971,49411800
2015-12-01,42.730000,43.480000,42.320000,43.200001,33.738251,67274600
2015-12-08,43.049999,43.270000,41.970001,42.450001,33.152519,76571300
2015-12-15,42.840000,43.910000,42.459999,42.779999,33.410252,89510100
2015-12-22,42.860001,43.730000,42.709999,43.490002,33.964745,30735800
2015-12-29,43.540001,43.779999,41.970001,42.400002,33.113461,38664300
2016-01-05,42.310001,42.630001,41.290001,41.580002,32.473064,83051700
2016-01-12,42.299999,42.570000,40.930000,41.500000,32.410595,75850700
2016-01-19,41.770000,42.500000,40.750000,42.160000,32.926037,78669000
2016-01-26,42.160000,43.259998,41.810001,43.000000,33.582054,81363100
2016-02-02,42.700001,42.990002,41.900002,42.650002,33.308716,77275000
2016-02-09,42.259998,43.490002,41.980000,43.110001,33.667965,73631100
2016-02-16,43.320000,44.160000,43.020000,43.939999,34.316174,69744800
2016-02-23,43.740002,44.180000,42.919998,43.130001,33.683582,66384700
2016-03-01,43.380001,44.150002,43.169998,44.009998,34.370853,62736200
2016-03-08,43.919998,45.419998,43.810001,45.290001,35.370495,95611400
2016-03-15,45.080002,45.910000,44.549999,45.669998,35.945423,86746200
2016-03-22,45.549999,45.930000,45.189999,45.799999,36.047733,47277200
2016-03-29,45.860001,46.930000,45.810001,46.889999,36.905647,80419800
2016-04-05,46.619999,47.130001,46.160000,46.439999,36.551464,52950800
2016-04-12,46.410000,46.779999,45.680000,46.220001,36.378307,62621300
2016-04-19,46.310001,46.619999,42.869999,44.709999,35.189835,128293500
2016-04-26,44.919998,45.189999,44.250000,44.980000,35.402348,60497000
2016-05-03,44.869999,45.500000,44.509998,45.240002,35.606983,45246700
2016-05-10,45.439999,45.900002,45.139999,45.619999,35.906075,47984800
2016-05-17,45.450001,45.560001,43.939999,43.970001,34.607403,67109600
2016-05-24,44.099998,44.959999,44.000000,44.779999,35.244930,38442000
2016-05-31,44.980000,45.480000,44.259998,45.369999,35.709301,58290600
2016-06-07,45.349998,46.009998,45.090000,45.119999,35.512527,48741400
2016-06-14,44.849998,45.340000,44.380001,44.980000,35.673832,62481800
2016-06-21,45.160000,45.330002,43.320000,43.779999,34.722115,70096800
2016-06-28,44.060001,45.410000,43.669998,45.119999,35.784863,56616900
2016-07-05,45.160000,45.770000,44.919998,45.570000,36.141769,55047700
2016-07-12,45.639999,45.939999,45.180000,45.630001,36.189354,43967900
2016-07-19,45.459999,45.840000,45.259998,45.570000,36.141769,42254800
2016-07-26,45.529999,45.650002,43.099998,43.450001,34.460388,95239000
2016-08-02,43.349998,43.799999,43.220001,43.439999,34.452457,55266900
2016-08-09,43.500000,44.330002,43.380001,44.240002,35.086941,48316200
2016-08-16,44.250000,44.259998,43.730000,43.740002,34.690384,48132300
2016-08-23,43.849998,43.980000,43.310001,43.540001,34.531765,51115200
2016-08-30,43.459999,43.830002,43.080002,43.660000,34.626930,37421800
2016-09-06,43.740002,43.799999,42.270000,43.189999,34.254185,66833900
2016-09-13,42.770000,42.770000,41.880001,42.099998,33.389694,56959000
2016-09-20,42.310001,43.009998,42.009998,42.049999,33.622513,55238900
2016-09-27,42.189999,42.759998,41.849998,42.029999,33.606518,65644400
2016-10-04,42.340000,42.340000,41.570000,41.730000,33.366638,50119300
2016-10-11,41.660000,41.910000,41.400002,41.599998,33.262703,62807300
2016-10-18,41.810001,42.770000,41.680000,42.560001,34.030296,66125900
2016-10-25,42.639999,43.029999,41.900002,42.400002,33.902348,74633800
2016-11-01,42.400002,42.500000,41.689999,42.459999,33.950344,64018400
2016-11-08,42.369999,42.980000,40.630001,41.169998,32.918873,99568300
2016-11-15,41.180000,41.650002,40.730000,41.360001,33.070793,70286500
2016-11-22,41.450001,41.790001,41.029999,41.750000,33.382629,48851500
2016-11-29,41.520000,41.520000,39.880001,40.619999,32.479092,81396300
2016-12-06,40.750000,42.220001,40.419998,41.900002,33.785801,83794800
2016-12-13,41.720001,41.990002,41.060001,41.669998,33.600346,79551700
2016-12-20,41.700001,41.830002,41.080002,41.599998,33.543907,38627800
2016-12-27,41.560001,41.840000,41.349998,41.459999,33.431011,34332700
2017-01-03,41.500000,41.970001,41.209999,41.320000,33.318123,58707800
2017-01-10,41.439999,41.439999,40.689999,40.880001,32.963337,45637700
2017-01-17,40.840000,41.500000,40.799999,41.430000,33.406822,60171300
2017-01-24,41.470001,42.250000,41.209999,41.380001,33.366501,63148700
2017-01-31,41.389999,41.790001,41.250000,41.560001,33.511646,60899000
2017-02-07,41.700001,42.150002,40.500000,40.619999,32.753674,107239600
2017-02-14,40.380001,41.360001,40.220001,41.230000,33.245544,96058500
2017-02-21,41.200001,42.000000,41.200001,41.669998,33.600346,66517900
2017-02-28,41.680000,42.560001,41.639999,42.180000,34.011578,74164200
2017-03-07,42.000000,42.400002,41.740002,42.029999,33.890629,69607300
2017-03-14,41.980000,42.389999,41.830002,42.180000,34.311783,97617200
2017-03-21,42.310001,42.700001,41.910000,42.320000,34.425659,66487900
2017-03-28,42.240002,42.650002,42.240002,42.410000,34.498875,58495600
2017-04-04,42.509998,42.860001,42.369999,42.689999,34.726646,56142500
2017-04-11,42.680000,43.080002,42.509998,43.070000,35.035767,43536600
