Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,68.650002,75.480003,68.349998,75.160004,55.016491,222560700
2013-02-01,75.300003,77.769997,74.949997,76.180000,56.215221,191904000
2013-03-01,75.699997,77.820000,75.559998,77.059998,56.864586,154532700
2013-04-01,76.849998,82.540001,76.349998,76.769997,56.650566,227545000
2013-05-01,76.830002,82.349998,76.720001,76.760002,57.059364,217685100
2013-06-01,76.870003,79.470001,75.099998,76.989998,57.230335,197044800
2013-07-01,77.019997,81.639999,77.000000,80.300003,59.690830,173226400
2013-08-01,81.620003,82.400002,73.610001,77.889999,58.333046,145746000
2013-09-01,78.269997,80.529999,75.349998,75.589996,56.610542,148988500
2013-10-01,75.519997,82.620003,75.199997,80.750000,60.474941,187970900
2013-11-01,80.680000,85.820000,80.639999,84.220001,63.566833,151274200
2013-12-01,84.040001,84.940002,80.480003,81.410004,61.445923,162155800
2014-01-01,81.330002,81.699997,75.260002,76.620003,57.830540,223479100
2014-02-01,76.690002,79.750000,75.400002,78.660004,59.819401,179529200
2014-03-01,78.260002,80.830002,77.349998,80.599998,61.294746,187701800
2014-04-01,80.599998,82.980003,79.379997,82.550003,62.777710,190028500
2014-05-01,82.389999,82.800003,79.540001,80.790001,61.930111,133914500
2014-06-01,80.660004,80.669998,78.430000,78.589996,60.243668,157871600
2014-07-01,78.870003,81.910004,77.290001,77.320000,59.270164,163843000
2014-08-01,79.250000,83.830002,78.660004,83.110001,64.217453,156922800
2014-09-01,83.209999,85.400002,82.709999,83.739998,64.704262,149281200
2014-10-01,84.019997,87.360001,81.570000,87.269997,67.431801,221888900
2014-11-01,86.660004,90.559998,86.199997,90.430000,70.409401,136839600
2014-12-01,90.169998,93.889999,88.379997,91.089996,70.923279,142076100
2015-01-01,90.839996,91.790001,84.250000,84.290001,65.628746,170695100
2015-02-01,84.580002,86.779999,83.680000,85.129997,66.754196,151944800
2015-03-01,85.129997,85.440002,80.809998,81.940002,64.252815,201716100
2015-04-01,82.440002,84.199997,79.070000,79.510002,62.347317,169776700
2015-05-01,79.760002,81.209999,78.190002,78.389999,61.963482,136581700
2015-06-01,78.650002,81.220001,77.099998,78.239998,61.844921,188528800
2015-07-01,78.389999,82.550003,76.660004,76.699997,60.627651,180179300
2015-08-01,76.510002,77.089996,65.019997,70.669998,56.318623,239833200
2015-09-01,69.370003,73.379997,67.330002,71.940002,57.330727,229174600
2015-10-01,71.760002,78.449997,71.290001,76.379997,60.869080,202237100
2015-11-01,76.570000,77.419998,73.949997,74.839996,60.177853,146640000
2015-12-01,74.870003,81.230003,74.870003,79.410004,63.852528,207512900
2016-01-01,78.360001,82.000000,74.459999,81.690002,65.685860,229300200
2016-02-01,81.209999,83.000000,79.629997,80.290001,65.122833,192561100
2016-03-01,80.540001,83.870003,80.480003,82.309998,66.761246,215175400
2016-04-01,82.000000,83.839996,79.099998,80.120003,64.984947,161687300
2016-05-01,80.019997,82.889999,79.410004,81.040001,66.269592,137374900
2016-06-01,80.949997,84.800003,80.860001,84.669998,69.238007,160702400
2016-07-01,84.519997,86.889999,84.320000,85.589996,69.990311,145119200
2016-08-01,85.440002,88.500000,85.129997,87.309998,71.956299,185975600
2016-09-01,87.360001,90.220001,85.959999,89.750000,73.967232,846352000
2016-10-01,89.349998,90.330002,84.059998,86.800003,71.535988,376452700
2016-11-01,86.580002,87.690002,81.709999,82.459999,68.483902,202434100
2016-12-01,82.209999,85.739998,81.180000,84.080002,69.829323,174313100
2017-01-01,83.879997,87.980003,83.239998,87.599998,72.752716,193158900
2017-02-01,87.029999,91.800003,86.750000,91.070000,76.234016,196203300
2017-03-01,91.050003,92.000000,89.589996,89.849998,75.212776,199174700
2017-04-01,89.860001,91.129997,87.150002,87.330002,73.103287,136581600
2017-05-01,87.379997,88.349998,85.519997,88.089996,74.304108,138172700
2017-06-01,88.019997,90.209999,86.930000,87.150002,73.511230,143596200
2017-07-01,87.400002,91.070000,86.309998,90.820000,76.606880,122105100
2017-08-01,91.029999,92.959999,90.519997,92.269997,78.440552,131332200
2017-09-01,92.419998,94.669998,90.339996,90.980003,77.343918,138824900
2017-10-01,91.260002,93.510002,85.720001,86.339996,73.399353,179372200
2017-11-01,86.330002,90.370003,85.419998,89.989998,77.075569,123550900
2017-12-01,90.180000,93.139999,89.120003,91.879997,78.694328,130696800
2018-01-01,91.919998,91.930000,86.080002,86.339996,73.949371,190676000
2018-02-01,86.150002,86.500000,78.500000,78.519997,67.764290,224924600
2018-03-01,78.400002,80.750000,75.809998,79.279999,68.420197,211186000
2018-04-01,79.260002,79.519997,71.949997,72.339996,62.430851,214265200
2018-05-01,72.050003,75.019997,70.730003,73.169998,63.731472,184831100
2018-06-01,73.330002,78.709999,72.860001,78.059998,67.990707,191430600
2018-07-01,77.500000,80.980003,77.419998,80.879997,70.446938,167374200
2018-08-01,80.419998,84.199997,80.110001,82.949997,72.905632,147692700
2018-09-01,82.480003,86.279999,81.250000,83.230003,73.151741,137121300
2018-10-01,83.309998,90.699997,78.489998,88.680000,77.941780,273769800
2018-11-01,88.809998,94.809998,88.180000,94.510002,83.799828,214198200
2018-12-01,94.669998,96.900002,86.739998,91.919998,81.503342,224359900
2019-01-01,91.029999,96.809998,89.080002,96.470001,85.537743,225455800
2019-02-01,96.349998,100.449997,95.989998,98.550003,88.073135,176165700
2019-03-01,98.610001,104.150002,97.750000,104.050003,92.988434,180275300
2019-04-01,104.230003,107.199997,102.129997,106.480003,95.160103,148284900
2019-05-01,106.150002,108.680000,102.410004,102.910004,92.618889,139582600
2019-06-01,103.150002,112.629997,102.400002,109.650002,98.684883,151126800
2019-07-01,109.919998,121.760002,109.610001,118.040001,106.235863,166952300
2019-08-01,118.559998,122.000000,112.680000,120.230003,108.907616,164651400
2019-09-01,119.790001,125.360001,119.019997,124.379997,112.666801,139990300
2019-10-01,124.360001,125.769997,116.169998,124.510002,112.784554,151910300
2019-11-01,124.830002,125.139999,118.239998,122.059998,111.271561,125206800
2019-12-01,121.940002,126.599998,120.959999,124.900002,113.860542,137843900
2020-01-01,124.500000,127.000000,121.860001,124.620003,113.605286,154118600
2020-02-01,124.660004,128.089996,106.669998,113.230003,103.835274,149843900
2020-03-01,113.190002,124.690002,94.339996,110.000000,100.873260,343541300
2020-04-01,107.949997,124.989998,107.000000,117.870003,108.090279,245058600
